ID Product,Product Description,ID Product Category,Own Brand
871170,"GEL GOURMES TIRAMISU 2,1L",GELADOS CATERING,1
871262,"GEL GOURMES STRACCIATELLA 2,1L",GELADOS CATERING,1
906532,CHAMP. DRAPPIER CARTE D'OR BRUT 75CL,ESPUMANTES ESTRANGEIROS,0
948623,GYOZA FRANGO E VEGETAIS CONG 600GR,SALGADOS / SNACKS E ENTRADAS,0
814333,SALMAO FILETE AV CONG KG,PEIXES INTEIROS / CORTADOS,0
961115,TOMATE PELADO CIRIO BOLSA 10KG,CONSERVAS VEGETAIS,0
913250,FAR NLÁCT BLEDINA 7 CEREAIS 200G,ALIMENTOS INFANTIS,0
370071,BATATA CONSERVAÇÃO ASSAR VERM 10KG RCH,HORTÍCOLAS CONSERVAÇÃO,0
734277,CORVINA 3/4 KGS AMANHADA (CX 1 UNI),PESCADO SELVAGEM,0
710576,V.DOURO QUINTA CIDRO SAUV.BLANC BCO 75CL,VINHOS BRANCOS,0
53287,BERBIGÃO - LEGÍTIMO RCH,MARISCO FRESCO,0
968943,PORCO BIFINHOS DO CACHAÇO CONG KG,SUINO,0
765267,HORTELÃ EMB 100G PLT,LEGUMES FRESCOS,0
956899,DOCE DE FIGO JUGAIS ZERO 280G,MEL E DOCES,0
956960,DOCE DE ABÓBORA COM NOZ JUGAIS ZERO 280G,MEL E DOCES,0
690998,MORANGO EMB RCH,FRUTAS FRESCAS,0
839702,BATATA DOCE INTEIRA 4G 3KG RCH,4A GAMA,0
958037,VINHO DO PORTO DRY WHITE MARTHA'S 75CL,VINHO DO PORTO,0
442201,MACA PINK LADY RCH,FRUTAS FRESCAS,0
953991,SUMO MAÇÃ E MORANGO 3L(BAG),SUMOS 100 %,0
753735,COMPAL CLASSICO MANGA GRF 200ML - CP,SUMOS,0
870582,PANKO TAIKOBAN 4MM SC10KG (CALID A),FARINHAS,0
774895,MASSA BARILLA FARFALLE 5KG,MASSAS,0
53292,OSTRAS,MARISCO FRESCO,0
879709,V VERDE VILA NOVA BCO 75CL,VINHOS BRANCOS,0
915258,BOV PICANHA ANGUS GRAIN FED URY/ARG KG,BOVINO,0
876626,QUEIJO DE CABRA EM CUBOS 750G CONG,OUTROS VEGETAIS,0
811617,BULGUR BIO SEARA 500G,SEMENTES,0
741120,BOVINO MAMINHA POLÓNIA MC VÁCUO CC,BOVINO,0
634440,V.FRISANTE LAMBRUSCO CONT.CARL.TTO 75CL,FRISANTES TINTOS,0
634441,V.FRISANTE LAMBRUSCO CONT.CARL.BCO 75CL,FRISANTES BRANCOS,0
53291,MEXILHÃO KG,MARISCO FRESCO,0
755333,VODKA ERISTOFF 70CL,VODKA,0
515860,"LEITÃO CONGELADO 4-6,5 KGS CC",SUINO,0
944627,V. ALFACINHA TTO5X75CL + OF.ALFA SUP TTO,VINHOS TINTOS,0
919558,CACAU EM PÓ JERÓNIMOS 125G,PRODUTOS PARA CULINÁRIA,0
709772,MISTURA PIMENTAS DUCROS 180GR,ESPECIARIAS,0
832616,FILETE DE ROBALO CONG CX5KG,PEIXES INTEIROS / CORTADOS,0
66640,VODKA SMIRNOFF RED 70CL,VODKA,0
866277,TEQUILA OLMECA BLANCO 70CL,TEQUILAS,0
724296,V.P.SETÚBAL JP TTO 25CL,VINHOS BRANCOS,0
813159,SR.BASILIO BF PALHISSIMAS 400G,APERITIVOS E BATATA FRITA,0
960257,VODKA BAG IN BOX 5 LT,VODKA,0
731144,VITELA BRANCA SETE DA PÁ CC,BOVINO,0
962958,MAIONAISE HEINZ COM TRUFA 875 ML,MOLHOS,0
946114,* NOVILHO ESTUFADO À ANTIGA INOX,PRATO DE CARNE,0
872136,CABO METALICO AMANH 120CM,ACESSÓRIOS LIMPEZA GERAL,0
943387,ESPANADOR AGARRA PO AMANH +5REC,ACESSÓRIOS LIMPEZA GERAL,0
805676,DET MAQ LIQ WOOLITE BLACK 30 DOSES,DETERGENTES ROUPA,0
915557,BERINGELA ROD GRELHADAS JVIRTO CG 10KG,OUTROS VEGETAIS,0
952097,ACELGA FOLHAS PORÇÕES 40G JVIRTO CG 10KG,OUTROS VEGETAIS,0
911887,SAB LIQ MAOS SOFTCARE PLUS H400 5L,MULTIUSOS,0
335310,MANTEIGA MILHAFRE COM SAL 250G,MANTEIGAS,0
19160,ESPUMANTE MURGANHEIRA RES.DOCE 75CL,ESPUMANTES NACIONAIS,0
904671,QUEIJO AZUL EM CUBOS IQF EURIAL 750G,OUTROS QUEIJOS,0
942103,MOLHO KEBAB DONA SARAH 450 ML,MOLHOS,0
931920,V.ALENT.VICENTINO SAUVIGNON BLANC BCO 75,VINHOS BRANCOS,0
967914,"DET DESINF CONCENTRADO ACTIVE S10  1,5LT",OUTROS PRODUTOS LIMPEZA,0
528143,BORREGO CHAMBAO PERNA CONG,OVINO / CAPRINO,0
710410,XAROPE MORANGO MILBAR LT,XAROPES,0
868013,MOLHO RANCHERA GUACAMOLE 2L,ÉTNICOS,0
955153,SUMO CRISTAL LIMÃO PET 3LT,VINAGRES,0
958040,VINHO DO PORTO MARTHAÝS FINE TAWNY 75 CL,VINHO DO PORTO,0
39111,"V.ALENTEJO PORTA RAVESSA BCO 37,5CL",VINHOS BRANCOS,0
100127,"V.ALENTEJO PORTA RAVESSA TTO 37,5CL",VINHOS TINTOS,0
968101,"V. FLOR CÔA COLHEITA TTO 37,5CL",VINHOS TINTOS,0
282504,BORREGO VÃO COST LOMBO CONG KG CC,OVINO / CAPRINO,0
899668,MASSA BARILLA SPAGHETTI 500G,MASSAS,0
271460,SAL REGENERADOR SACO 25 KG,OUTROS PRODUTOS LIMPEZA,0
630261,DESINFECTANTE MAOS MCHEF 1LT,PRODUTOS DE SAÚDE,1
58445,CHÁ VERDE TWININGS 25UN,CHÁS E INFUSÕES,0
847501,BEBIDA DE ARROZ E COCO ALPRO 1L,BEBIDA VEGETAL,0
276725,ROMA RCH,FRUTAS FRESCAS,0
278760,BAT CONS BCA LAV CAL45+ 10KG RCH,HORTÍCOLAS CONSERVAÇÃO,0
922416,BOV T-BONE MATURADO BC CONG KG,BOVINO,0
887358,AÇÚCAR RAR DEMERARA 50 STICK 300G,AÇÚCAR,0
906614, GOLDEN MYLK ORIGENS BIO 1KG,ESPECIARIAS,0
58649,AZEITE MOURA VIRGEM DOP 5L,AZEITES,0
67104,AGUARDENTE VELHA ALIANÇA 70CL,AGUARDENTE,0
820986,CERVEJA SAGRES BOHEMIA 33CL,CERVEJAS BRANCAS,0
903807,MUFFIN MINI MIX PAN CG 35GR R167109,BOLOS E SOBREMESAS INDIVIDUAIS,0
740528,PALETE EUR E EPAL,ACESSORIOS TRANSPORTE,0
740530,PALETES ESTRADOS/TARA PERDIDA,ACESSORIOS TRANSPORTE,0
951818,"TOMATE PELADO CIRIO LATA  2,5 KG",CONSERVAS VEGETAIS,0
964544,MAIONESE DONA SARAH TOPDOWN 250ML,MOLHOS,0
895086,QUEIJO RICOTTA BRAVO BIS 250GR,OUTROS QUEIJOS ESTRANGEIROS,0
953885,CORANTE ALIMENTAR CARMENCITA 625 PET,PRODUTOS PARA DOÇARIA,0
875903,V. DOURO SAGRADO RESERVA BCO 75CL,VINHOS BRANCOS,0
876480,V. DOURO SAGRADO VINHAS VELHAS TTO 75CL,VINHOS TINTOS,0
941923,V. ALENTEJO DUQ MARIA RESERVA TTO 75CL,VINHOS TINTOS,0
908910,* QUICHE DE ESPINAFRES,PRATO VEGETARIANO,0
923365,* QUINOA C/LEGUMES TOM SECO E AZEITONA P,PRATO VEGETARIANO,0
949523,* BURGER VEGETARIANO C CEBOLADA INOX,PRATO VEGETARIANO,0
10006848,STROGONOFF DE SOJA*,PRATO VEGETARIANO,0
250295,PORCO CHISPE DA MÃO RACHADO,SUINO,0
277942,RABANETES GRANEL RCH,LEGUMES FRESCOS,0
734108,TOUCINHO DO CÉU C.PROF CG FAT. R43013,PASTELARIA,0
958038,VINHO DO PORTO PINK MARTHAÝS 75 CL,VINHO DO PORTO,0
962949,MOLHO HEINZ SWEET CHILLI 875 ML,MOLHOS,0
817929,FARINHA POLENTA GLOBO 500G,FARINHAS,0
712261,BOVINO PICANHA A EUROPA CONG,BOVINO,0
752028,SACO LIXO MCHEF AT 160LT 10 UN,SACOS LIXO,1
812513,CAPSULAS AMANH CAFÉ TRAD 10UN,CAFÉS E MISTURAS,0
812514,CAPSULAS AMANH DESCAF 10UN,CAFÉS E MISTURAS,0
968941,PORCO COSTELETA CACHAÇO CONG KG,SUINO,0
470302,BORREGO PERNA S/CHAMBAO (MINI LEG) CONG,OVINO / CAPRINO,0
958957,* JARDINEIRA DE PORCO INOX,PRATO DE CARNE,0
768475,CAPPUCCINO SOLÚVEL DESCAF NESCAFE 10UN,CAFÉS E MISTURAS,0
563034,V.P.SET.PERIQUITA BCO 75CL,VINHOS BRANCOS,0
749448,GRANDE D.TIRAMIS C.PROF.48 TRI CG R74606,PASTELARIA,0
903803,PÃO DÝAVÓ ALONG FAT PAN CG 400GR R170006,PADARIA,0
957536,VINHO TINTO DOC DOURO OMNIA 75 CL,VINHOS TINTOS,0
58454,CHÁ VERDE MENTA TWININGS 25UN,CHÁS E INFUSÕES,0
60636,CERVEJA SAGRES LATA 33CL,CERVEJAS BRANCAS,0
271334,CHÁ EARL GREY TWININGS 25UN,CHÁS E INFUSÕES,0
907178,V. PORTO NIEPOORT RUBY 75CL,VINHO DO PORTO,0
68611,LICOR COINTREAU 70CL,LICORES,0
